id;country_name
1;Saudi Arabia
2;Kazakhstan
3;Bahamas
4;Haiti
5;Mali
6;Yemen
7;Sao Tome and Principe
8;Bhutan
9;Nigeria
10;Montenegro
11;Iceland
12;Ireland
13;Cape Verde
14;Maldives
15;Algeria
16;Canada
17;Congo
18;Barbados
19;Poland
20;Palau
21;Liechtenstein
22;Turkey
23;Azerbaijan
24;Indonesia
25;Japan
26;Singapore
27;Cyprus
28;Trinidad and Tobago
29;Bulgaria
30;Seychelles
31;Dominica
32;Philippines
33;Tonga
34;East Timor
35;Central African Rep
36;Saint Vincent and the Grenadines
37;Gabon
38;Micronesia
39;Malaysia
40;Dominican Republic
41;Armenia
42;United Arab Emirates
43;United States
44;New Zealand
45;El Salvador
46;Nicaragua
47;Hungary
48;Niger
49;Suriname
50;Morocco
51;Albania
52;Honduras
53;Guatemala
54;Panama
55;Guinea
56;Mauritius
57;Argentina
58;Bahrain
59;St Kitts and Nevis
60;Malawi
61;Samoa
62;Costa Rica
63;Croatia
64;Sweden
65;Estonia
66;Serbia
67;Togo
68;Slovenia
69;Paraguay
70;Cuba
71;Antigua and Deps
72;Mauritania
73;Latvia
74;Zambia
75;Finland
76;Ecuador
77;Solomon Islands
78;Ethiopia
79;Nepal
80;Grenada
81;Norway
82;Andorra
83;Chad
84;Thailand
85;Bosnia Herzegovina
86;Mexico
87;Rwanda
88;Burundi
89;Botswana
90;Vanuatu
91;Czech Republic
92;Tajikistan
93;Lebanon
94;Kenya
95;Taiwan
96;Namibia
97;Spain
98;China
99;Uzbekistan
100;Madagascar
101;Kyrgyzstan
102;Greece
103;Malta
104;Mongolia
105;San Marino
106;Tunisia
107;Ukraine
108;Angola
109;Qatar
110;Guyana
111;Macedonia
112;Venezuela
113;Burkina
114;Belgium
115;Benin
116;Iran
117;Somalia
118;South Africa
119;Egypt
120;South Sudan
121;Peru
122;Sri Lanka
123;Sudan
124;Chile
125;Jamaica
126;India
127;Iraq
128;Brunei
129;Equatorial Guinea
130;Slovakia
131;Vietnam
132;Pakistan
133;Ghana
134;Tanzania
135;Moldova
136;Georgia
137;Fiji
138;Monaco
139;Djibouti
140;Comoros
141;London
142;Sierra Leone
143;Uruguay
144;Germany
145;Bolivia
146;Switzerland
147;Gambia
148;Mozambique
149;Marshall Islands
150;Netherlands
151;Cambodia
152;Kuwait
153;Denmark
154;Liberia
155;Syria
156;Lesotho
157;Afghanistan
158;Vatican City
159;Swaziland
160;Belarus
161;St Lucia
162;United Kingdom
163;Korea South
164;Portugal
165;Australia
166;Oman
167;Laos
168;Zimbabwe
169;Papua New Guinea
170;Jordan
171;Libya
172;Ivory Coast
173;Nauru
174;Cameroon
175;Italy
176;Uganda
177;Turkmenistan
178;France
179;Eritrea
180;Bangladesh
181;Brazil
182;Lithuania
183;Korea North
184;Kiribati
185;Russian Federation
186;Senegal
187;Luxembourg
188;Guinea-Bissau
189;Kosovo
190;Colombia
191;Myanmar
192;Romania
193;Belize
194;Tuvalu
195;Israel
196;England
197;Congo
