id;department_name
1;Admissions
2;Anesthetics
3;Breast Screening
4;Burn Center
5;Cardiology
6;Chaplaincy
7;Coronary Care Unit
8;Critical Care
9;Diagnostic Imaging
10;Discharge Lounge
11;Elderly Services
12;Finance Department
13;Gastroenterology
14;General Services
15;General Surgery
16;Gynecology
17;Haematology
18;Health & Safety
19;Intensive Care Unit (ICU)
20;Human Resources
21;Infection Control
22;Information Management
23;Maternity
24;Medical Records
25;Microbiology
26;Neonatal
27;Nephrology
28;Neurology
29;Nutrition and Dietetics
30;Obstetrics/Gynecology
31;Occupational Therapy
32;Oncology
33;Ophthalmology
34;Orthopaedics
35;Otolaryngology (Ear, Nose, and Throat)
36;Pain Management
37;Patient Accounts
38;Patient Services
39;Pharmacy
40;Physiotherapy
41;Purchasing & Supplies
42;Radiology
43;Radiotherapy
44;Renal
45;Rheumatology
46;Sexual Health
47;Social Work
48;Urology
