id;job_title;min_salary;max_salary
1;CLINICAL_ADMINISTRATOR;70700;225000
2;HOSPITAL_ADMINISTRATION;174107;476476
3;MEDICAL_RECORDS_ADMINISTRATOR;44600;13100
4;MEDICAL_SECRETARY;51580;85000
5;PROGRAM_MANAGER;107000;196000
6;AUDIOLOGIST;11400;363000
7;OPTOMETRY;132000;420000
8;PODIATRIST;137000;262454
9;SPEECH_PATHOLOGIST;51000;153490
10;VETERINARIAN;62660;149625
11;VETERINARY_NURSE;31218;49338
12;ACUPUNCTURIST;37477;62341
13;TRADITIONAL_CHINESE_MEDICINE_PRACTITIONER;33526;53805
14;NATUROPATH;51856;92495
15;DENTISTRY;479000.00;138000.00
16;DENTAL_ASSISTANT;42000;72000
17;DENTAL_HYGIENIST;44700;13200
18;DENTIST;64500;361000
19;DIVERSIONAL_THERAPIST;54951;100000
20;PARAMEDIC;44475;73655
21;PHYSICIAN;107000;492000
22;PHYSICIAN_ASSISTANT;95700;331000
23;MEDICAL_RESEARCH_SCIENTIST;58000;125000
24;RESEARCH_ASSISTANT;43600;128000
25;RESEARCH_OFFICER;151000;238840
26;ACCREDITED_MENTAL_HEALTH_SOCIAL_WORKER;51120;87634
27;MENTAL_HEALTH_SUPPORT_WORKER;81100;280000
28;PSYCHIATRIST;156988;299812
29;PSYCHOLOGIST;49125;132857
30;ASSISTANT_IN_NURSING;43999;85000
31;CLINICAL_NURSE;39525;88022
32;ENROLLED_NURSE;39525;88022
33;MENTAL_HEALTH_NURSE;39525;88022
34;NURSE_MANAGER;89047;159087
35;NUTRITION_ASSISTANT;63055;109693
36;POTATO;0;0
37;NUTRITIONIST;118000;409000
38;COMMUNITY_PHARMACIST;78400;250000
39;HOSPITAL_PHARMACIST;81600;260000
40;PHARMACY_TECHNICIAN;34674;54920
41;CHIROPRACTOR;77301;141492
42;MASSAGE_THERAPIST;43800;756000
43;PHYSIOTHERAPIST;122,00;359,00
44;THERAPY_ASSISTANT;62158;104231
45;WORK_HEALTH_AND_SAFETY_OFFICER;70961;123903
46;MEDICAL_IMAGING_TECHNOLOGIST;69900;22200
47;MEDICAL_LABORATORY_TECHNICIAN;50400;148000
