id;street_address;postal_code;city;state_province;country_id
1;1541 Randy Reed Street;102735;Ufa;Bashkortostan;185
2;7738 Pamela Diaz Square;125202;Madagascar;Madagascar;100
3;7804 Frances Phillips Way;356208;El Salvador;El Salvador;45
4;7350 Emily Edwards Canyon;239926;Seoul;Seoul;163
5;406 Katherine Watson Canyon;382062;Sus;Massa;50
6;3015 Amanda Carter Canyon;443964;Mauritania;Mauritania;72
7;1149 Donald Wilson Square;370584;Puyo;Pastaza;76
8;8921 Dylan Allen Canyon;300797;Port-gentil;West;37
9;5387 Larry Williams Canyon;169689;Oulu;Oulu;75
10;2388 Sandra Anderson Avenue;135508;Kyrgyzstan;Kyrgyzstan;101
11;9463 Alan Rivera Square;447211;Sydney;Sydney Central Coast;165
12;2711 Justin Peterson Square;505831;Kokopo;Islands Region;169
13;5934 Jennifer Ward Square;213132;Vanuatu;Vanuatu;90
14;3670 Stephen Mitchell Boulevard;162443;Bridgetown;Barbados;18
15;6414 Charlotte Hughes Square;194193;Rouen;Normandy;178
16;3378 William Richardson Square;118220;Malta;Malta;103
17;2885 Jason Patel Street;38534;Slovakia;Slovakia;130
18;7058 Catherine Bennet Avenue;433025;Ljubljana;Osrednjeslovenska;68
19;5790 Frances Johnson Square;491533;Havana;La Habana;70
20;6945 Marilyn Cook Canyon;260350;Ikea;Kalmar Lan;64
21;4956 Ralph Roberts Square;645896;Timor;East Timor;34
22;5401 Marilyn Foster Way;283432;Algiers;Algerios;15
23;382 Mary Cruz Street;110229;Split;Split;63
24;7178 Gerald Nelson Boulevard;207818;Cyprus;Cyprus;27
25;5576 Sharon Parker Avenue;550308;Trinidad and Tobago;Tobago;28
26;5253 Jose Martin Square;467475;Bulawayo;Bulawayo;168
27;2723 Dylan Roberts Boulevard;415072;Touba;Diourbel;186
28;3175 Abigail Smith Street;123596;Patagonia;Sounth Argentina;57
29;5545 Joseph Adams Square;42659;Arequipa;Arequipa;121
30;3115 Karen Turner Square;134095;Roma;Lazio;175
31;1936 Wayne Cruz Square;462194;Samoa;Samoa;61
32;2321 Carl Roberts Canyon;175299;Latvia;Latvia;73
33;3051 Ryan Wilson Square;284962;Nassau;The Bahamas;3
34;8773 Isabella Kelly Avenue;321955;Camden;Greater London;162
35;853 Charles Ramos Avenue;413113;Hue;Red River Delta;131
36;2329 Evelyn Adams Square;177934;London;Crystal Palace;141
37;305 Kevin Young Way;246404;Tete;Tete;148
38;5485 Karen Sanders Square;614265;Bamako;Mali region;5
39;3498 David Bailey Street;744334;Dublin;Capital Region;12
40;7079 Amy Stewart Avenue;385865;Vientiane;Vientiane Prefecture;167
41;9934 Samantha Rogers Square;716332;Panama;Panama;54
42;6203 Evelyn Scott Avenue;81609;El Seybo;Yuma;40
43;4885 Catherine Morgan Boulevard;498187;Tuguegarao;Cagayan Valley;32
44;4534 Logan Young Avenue;447425;Costa Rica;Costa Rica;62
