id;medicine_name;medicine_description;natural_medicine
1;Acetaminophen;Common conditions treated include headache, muscle aches, arthritis, backache, toothaches, sore throat, colds, flu, and fevers;null
2;Adderall;Amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to yperactivity and impulse control.;null
3;Amitriptyline;Amitriptyline is a prescription medicine used to treat symptoms of depression.;null
4;Amlodipine;Amlodipine is used to treat chest pain (angina) and other conditions caused by coronary artery disease.;null
5;Amoxicillin;Amoxicillin is used to treat many different types of infection caused by bacteria, such as tonsillitis, bronchitis, pneumonia, and infections of the ear, nose, throat, skin, or urinary tract.;null
6;Ativan;Ativan is a prescription medicine used to treat anxiety disorders.;null
7;Atorvastatin;Atorvastatin is used to treat high cholesterol, and to lower the risk of stroke, heart attack, or other heart complications in people with type 2 diabetes, coronary heart disease, or other risk factors.;null
8;Azithromycin;Azithromycin is used to treat many different types of infections caused by bacteria, such as respiratory infections, skin infections, ear infections, eye infections, and sexually transmitted diseases.;null
9;Benzonatate;Benzonatate is used to relieve coughing.;null
10;Brilinta;Brilinta is used to lower your risk of heart attack, stroke, or death due to a blocked artery or a prior heart attack.;null
11;Bunavail;Bunavail buccal films are used to treat opioid addiction.;null
12;Buprenorphine;Buprenorphine sublingual tablets are most often used for the first 1 or 2 days to help you start with treatment.;null
13;Cephalexin;Cephalexin is used to treat infections caused by bacteria, including upper respiratory infections, ear infections, skin infections, urinary tract infections and bone infections.;null
14;Ciprofloxacin;Ciprofloxacin is a fluoroquinolone (flor-o-KWIN-o-lone) antibiotic, it is used to treat different types of bacterial infections. It is also used to treat people who have been exposed to anthrax or certain types of plague. ;null
15;Citalopram;Citalopram is used to treat depression.;null
16;Clindamycin;Clindamycin is used to treat serious infections caused by bacteria.;null
17;Clonazepam;Clonazepam is used to treat certain seizure disorders (including absence seizures or Lennox-Gastaut syndrome) in adults and children.;null
18;Cyclobenzaprine;Cyclobenzaprine is used together with rest and physical therapy to treat skeletal muscle conditions such as pain or injury.;null
19;Cymbalta;Cymbalta is used to treat major depressive disorder in adults. It is also used to treat general anxiety disorder in adults and children who are at least 7 years old.;null
20;Doxycycline;Doxycycline is used to treat many different bacterial infections, such as acne, urinary tract infections, intestinal infections, respiratory infections, eye infections, gonorrhea, chlamydia, syphilis, periodontitis (gum disease), and others.;null
21;Dupixent;Dupixent is also used together with other medications to treat moderate-to-severe asthma that is not controlled with other asthma medicines. It is used for asthma in adults and children at least 12 years old.;null
22;Entresto;Entresto is used in adults with chronic heart failure. This medicine helps lower the risk of needing to be hospitalized when symptoms get worse, and helps lower the risk of death from heart failure.;null
23;Entyvio;Entyvio treats active disease and may help keep UC or Crohn's symptoms under control long term.;null
24;Farxiga;Farxiga (dapagliflozin) is an oral diabetes medicine that helps control blood sugar levels. Dapagliflozin works by helping the kidneys get rid of glucose from your bloodstream.;null
25;Fentanyl;Street drugs like heroin, cocaine and methamphetamine are being laced with this opioid, as are counterfeit drugs made to look like the real ones, like hydrocodone tablets or Xanax. It’s an extremely potent and rapidly fatal substitute for heroin.;null
26;Fentanyl Patch;Fentanyl patches are a strong prescription pain medicine. The patches are used to treat moderate to severe chronic pain around the clock.;null
27;Gabapentin;Gabapentin is an anti-epileptic drug, also called an anticonvulsant. It affects chemicals and nerves in the body that are involved in the cause of seizures and some types of pain.;null
28;Gilenya;Gilenya is used to treat relapsing multiple sclerosis (MS) in adults, and children and adolescents aged 10 years and older.;null
29;Humira;Humira is used to treat many inflammatory conditions in adults, such as rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, plaque psoriasis, and a skin condition called hidradenitis suppurativa.;null
30;Hydrochlorothiazide;Hydrochlorothiazide is used to treat high blood pressure (hypertension).;null
31;Hydroxychloroquine;Hydroxychloroquine is a quinoline medicine used to treat or prevent malaria, a disease caused by parasites that enter the body through the bite of a mosquito.;null
32;Ibuprofen;Ibuprofen is used to reduce fever and treat pain or inflammation caused by many conditions such as headache, toothache, back pain, arthritis, menstrual cramps, or minor injury.;null
33;Imbruvica;Imbruvica is used to treat mantle cell lymphoma, marginal zone lymphoma, Waldenstrom's macroglobulinemia, chronic lymphocytic leukemia, and small lymphocytic lymphoma.;null
34;Invokana;Invokana (canagliflozin) is an oral diabetes medicine that helps control blood sugar levels. Canagliflozin works by helping the kidneys get rid of glucose from your bloodstream.;null
35;Januvia;Januvia (sitagliptin) is an oral diabetes medicine that helps control blood sugar levels. It works by regulating the levels of insulin your body produces after eating.;null
36;Jardiance;Jardiance (empagliflozin) is an oral diabetes medicine that helps control blood sugar levels. Empagliflozin works by helping the kidneys get rid of glucose from your bloodstream.;null
37;Kevzara;Kevzara is used to treat moderate to severe rheumatoid arthritis in adults. Itis sometimes given together with other arthritis medicines.;null
38;Lexapro;Lexapro is used to treat major depressive disorder in adults and adolescents at least 12 years old.;null
39;Lisinopril;Lisinopril is used to treat high blood pressure (hypertension) in adults and children who are at least 6 years old.;null
40;Lofexidine;Lofexidine works by blocking the release of norepinephrine, a hormone similar to adrenaline that contributes to opioid withdrawal symptoms.;null
41;Loratadine;Loratadine is used to treat sneezing, runny nose, watery eyes, hives, skin rash, hay fever, itching, and other cold or allergy symptoms.;null
42;Lyrica;Lyrica is used to treat pain caused by fibromyalgia, or nerve pain in people with diabetes (diabetic neuropathy), herpes zoster (post-herpetic neuralgia), or spinal cord injury.;null
43;Melatonin;Melatonin is the natural hormone your body secretes that helps to maintain your wake-sleep cycle (also called “biological clock”).;null
44;Meloxicam;Meloxicam is used to treat pain or inflammation caused by rheumatoid arthritis and osteoarthritis in adults.;null
45;Metformin;Metformin is an oral diabetes medicine that helps control blood sugar levels.;null
46;Methadone;Methadone reduces withdrawal symptoms in people addicted to heroin or other narcotic drugs without causing the "high" associated with the drug addiction.;null
47;Methotrexate;Methotrexate is used to treat leukemia and certain types of cancer of the breast, skin, head and neck, lung, or uterus.;null
48;Metoprolol;Metoprolol is used to treat angina (chest pain) and hypertension (high blood pressure).;null
49;Naloxone;Naloxone blocks or reverses the effects of opioid medication, including extreme drowsiness, slowed breathing, or loss of consciousness. An opioid is sometimes called a narcotic.;null
50;Naltrexone;Naltrexone blocks the effects of opioid medication, including pain relief or feelings of well-being that can lead to opioid abuse. An opioid is sometimes called a narcotic. Vivitrol is used as part of a treatment program for drug or alcohol dependence.;null
